Name,Measurements,Date of Birth,Hair color,Height,Weight
Aaliyah Avatari,,11/9/1989,,,
Aaliyah Brown,34B-24-36,1/15/1987,,5-1,110
Aaliyah Ca Pelle,34EE-28-32,2/12/1985,,5-9,141
Aaliyah Grey,,,,,
Aaliyah Jolie,34A-26-34,1981-??-??,Blonde,5-8,121
Aaliyah Love,33A-25-34,6/11/1981,,5-1,106
Aaliyah Yi,,,,,
Aaralyn Barra,34C-24-35,4/24/1985,Blonde,5-4,110
Aarielle Alexis,32A-24-28,5/30/1986,,5-11,110
Abagelle Banks,32D-24-36,6/26/1987,,5-0,115
Abata Kupffer,34D-24-34,,,5-0,117
Abbey Anniston,,,,,
Abbey Brooks,34E-24-35,No data,Blonde,5-7,125
Abbey Rain,32DD-25-33,6/18/1995,,5-9,106
Abbi Roads,34B-25-36,12/30/1992,,5-2,121
Abbie Anderson,,,,,
Abbie Cat,32D-24-35,5/19/1989,,5-2,119
Abbie Lee,36C-25-36,7/13/1986,,5-10,
Abby Bella,,,,,
Abby Bynes,,5/13/1987,,,
Abby Cross,34B-26-34,11/29/1992,,5-2,119
Abby Darling,36C-26-36,,,5-10,141
Abby Lane,36D-24-36,2/21/1979,,5-0,121
Abby Lee Brazil,34C-26-35,9/8/1989,,5-5,126
Abby Lexus,34B-24-36,10/18/1989,,5-5,130
Abby Paradise,34B-31-34,8/10/1994,,5-2,
Abby Rode,36E-24-36,2/21/1979,,5-0,121
Abby Skyy,34D-24-28,2/21/1979,,5-11,108
Abby Taylor,,,,,
Abel Archer,,,,,
Abella Anderson,34D-26-38,5/16/1988,,5-1,108
Abella Danger,32C-24-32,11/19/1995,,5-6,130
Abella Johnson,,,,5-9,115
Abigail Clayton,32A-23-35,,,4-8,101
Abigail Mac,34D-24-36,6/2/1988,,5-1,106
Abigail Toyne,32B-23-33,1/15/1976,Blonde,5-4,No data
Abigaile Johnson,34B-23-35,11/11/1989,,5-9,110
Abril Gerald,,4/2/1995,,,
Abrill Gerald,34A-24-36,4/2/1995,,5-5,119
Ada Costa,34D,1985-??-??,Brown,No data,No data
Ada Sanchez,36F-24-36,12/28/1994,,4-6,110
Adajja,36D-26-34,8/11/1971,Blonde,5-3,112
Adalisa,34C-25-35,9/19/1990,,5-11,115
Adara Michaels,34DD-22-34,12/6/1963,Blonde,5-7,No data
Addi Crue,34DD-26-34,3/21/1988,,5-6,126
Addie Juniper,34B-26-35,5/23/1984,,5-11,126
Addison Avery,33C-25-35,5/5/1992,,5-7,110
Addison Cain,32A-24-36,12/31/1987,,5-0,115
Addison Dark,34C-24-34,,,5-0,119
Addison Grey,34B-23-36,11/27/1991,,5-9,126
Addison Heart,,,,,
Addison Oriley,34C-24-36,6/23/1988,,5-10,126
Addison Rose,32B-24-34,4/26/1987,Dark Brown,5-5,105
Addison Ryder,34C-24-32,7/22/1995,,5-1,115
Adel Sharp,32A-27-32,1/29/1985,Brown/Blonde,5-5,114
Adela,No data,11/13/1984,Blonde,5-5,105
Adele Spencer,,,,,
Adele Stephens,34D-24-34,7/29/1969,Blonde,5-7,116
Adele Sunshine,36B-32-36,12/14/1987,,5-9,119
Adella Skyy,34DD-26-38,10/14/1990,,5-11,150
Adelyn Ames,32C-24-35,,,5-0,110
Adessa Winters,32DD-28-33,2/27/1995,,5-4,106
Adia Sweet,,2/7/1994,,,
Adina Dena,34A-25-36,12/20/1994,,5-0,
Adina Jewel,34C-23-34,2/13/1979,,5-7,115
Adreena Winters,32C-26-35,1/18/1988,,5-11,117
Adrenalynn,32DD-27-37,7/8/1985,,5-4,110
Adria Rae,32B-25-33,8/27/1996,,5-10,110
Adrian Maya,32B-24-36,4/2/1996,,5-2,135
Adrian Olsen,,,,,
Adriana Amante,34A-25-33,12/14/1984,,5-10,99
Adriana Analise,34B-26-36,9/28/1972,,,
Adriana Angel,,,,5-7,95
Adriana Avalon,46E-38-44,3/9/1981,,5-0,196
Adriana Chechik,,11/4/1991,,,
Adriana Davis,,,,,
Adriana Deluxe,38D-25-37,4/24/1984,,5-7,123
Adriana Deville,34C-25-34,4/6/1978,,5-9,121
Adriana Esteve,,2/5/1977,,,
Adriana Faust,,,,,
Adriana Heart,34DD-25-35,,,,
Adriana Jolie,,,,,
Adriana Kelly,32D-24-34,2/8/1986,,5-4,106
Adriana Leigh,36C-24-35,2/8/1986,,5-10,121
Adriana Luna,34D-28-30,5/12/1984,,5-4,115
Adriana Lynn,34C-24-34,2/18/1993,,4-8,110
Adriana Malao,32A-23-32,12/26/1991,,5-9,121
Adriana Malkova,34C-24-34,10/11/1976,Blonde,5-7,114
Adriana Milano,,,,,
Adriana Nevaeh,34B-26-35,2/17/1989,,5-9,110
Adriana Russo,No data,7/12/1983,Brown/Blonde,No data,No data
Adriana Sage,34B-25-35,4/16/1980,Brown,5-8,125
Adriana Sephora,32DD-28-38,11/23/1990,,5-2,135
Adriana Wild,34B-25-36,,,5-0,128
Adrianna Annaelise,,,,,
Adrianna Davis,34B-24-32,,,5-2,115
Adrianna Faust,No data,3/21/1988,Black,5-3,118
Adrianna Ferrera,,,,,
Adrianna Lily,36C-24-36,,,5-0,123
Adrianna Nicole,34D-27-37,3/25/1981,Blonde,5-7,140
Adrianna Rossi,32C-24-33,,,5-4,104
Adrienne Anderson,,5/1/1995,,5-9,117
Adrienne Klass,0,7/29/1981,Brown,No data,No data
Adrienne Manning,,,,,
Aeisha Earle,34D-24-34,10/27/1980,,5-2,
Afra Red,36C-23-37,10/10/1984,,5-3,115
Africa Sexxx,,,,,
Africa,34-25-36,10/16/1981,Black,5-3,118
Afrodite Night,36C-25-37,4/29/1986,,5-4,97
Agatha Cristine,36D-25-39,1/5/1982,,5-0,123
Agatha Meirelles,34C-24-34,,,5-11,115
Agatha Morena,34D-25-36,10/14/1974,,5-5,110
Agatha Moreno,36C-32-38,8/6/1987,,5-9,117
Agatha Rangel,34D-24-35,4/27/1985,,5-11,121
Agatha Vania,34C-25-37,5/29/1985,,5-1,119
Agnes Black,,,,,
Agnes Blond,,,,,
Agnes Fodor,,,,,
Agnes Nagy,,,,,
Agnes Sabine,34D-22-28,8/5/1976,,5-1,99
Agnes Tilli,,,,,
Agnes Zalontai,,,,,
Agnese Stock,34B-25-36,7/19/1982,Blonde,5-6,No data
Ahnyjah Black,,,,,
Ahryan Astyn,36DD-25-38,12/30/1981,,5-9,123
Ai Iijima,,,,,
Ai Kurosawa,,,,,
Aida Sweet,36C-24-36,2/7/1994,,5-9,104
Aidan Layne,36B-25-35,No data,Blonde/Red,No data,No data
Aiden Ashley,32C-25-33,2/28/1990,,5-0,110
Aiden Aspen,32B-23-34,9/18/1989,,5-4,99
Aiden Boyd,,,,,
Aiden Starr,34C-25-34,8/27/1979,Red,4-11,90
Aidra Fox,32C-28-34,9/25/1995,,5-2,126
Aika Miura,,,,,
Aiko Bell,,,,,
Aiko Tanaka,,,,,
Aileen Ghettman,32H-28-38,8/20/1987,,5-1,141
Aimee Addison,34C-24-34,12/12/1979,,5-5,110
Aimee Black,32B-28-40,6/14/1993,,5-1,106
Aimee Desade,,,,,
Aimee Jackson,34H-34-42,,,5-11,176
Aimee Ryan,30A-24-30,5/9/1993,,5-8,115
Aimee Sweet,35C-24-34,5/14/1977,Auburn,5-8,118
Aimee Tyler,32A-24-32,12/24/1977,Black/Brown,5-2,99
Aina Nakazato,,,,,
Ainara Reina,,,,,
Ainsley Addison,32D-26-34,,,5-5,106
Aisha Sun,39C-27-39,12/1/1981,Brown,5-6,No data
Aiyana Flora,36A-24-35,,,5-7,115
Aj Applegate,34B-28-38,9/23/1989,,5-1,119
AJ Bailey,34-26-35,9/3/1980,Blonde,5-8,No data
Aj Estrada,34B-23-34,1/10/1991,,5-2,121
Aja Cummings,32C-24-41,,,5-3,115
Aja Fyne,No data,No data,Dark Brown,No data,No data
Ajaa Xxx,34B-24-32,1/10/1995,,5-4,110
Akasha Cullen,,1/11/1990,,5-11,117
Aki Tomosaki,39E-22-31,9/16/1969,,5-9,
Akira Lane,No data,????-06-09,Brown,5-4,110
Akira Lei,,,,,
Akira Raine,36B-26-36,1/5/1986,,5-2,130
Akira Watase,,,,,
Ako Ikeuchi,,,,,
Al Borda,,,,,
Alaina Brooke,,,,,
Alaina Dawson,34A-24-34,,,5-5,106
Alaina Fox,35C-27-34,3/18/1993,,5-3,121
Alaina Kristar,32A-25-34,11/17/1995,,5-5,101
Alamea Bond,,,,,
Alan Smithee,,,,,
Alana Ambrose,,,,,
Alana Anderson,,8/21/1992,,,
Alana Evans,34B-26-38,7/6/1976,Blonde,5-5,110
Alana Foxx,,,,,
Alana Lace,38F-34-42,1/21/1993,,5-0,121
Alana Leigh,36B-27-34,8/4/1989,,5-9,128
Alana Luv,34C-25-28,,,5-7,115
Alana Moore,,,,,
Alana Play,No data,2/10/1984,Black,5-9,129
Alana Rains,34B-26-36,2/3/1995,,5-8,130
Alana Ryder,34B-25-38,,,5-2,117
Alana Sampaio,34C-25-37,,,5-7,128
Alana Thomas,,,,,
Alanah Rae,34DD-27-38,2/9/1988,,5-2,130
Alani Pi,32B-26-36,,,5-11,115
Alanna Ackerman,36FF-28-42,9/25/1984,,5-0,137
Alanna Anderson,32C-30-33,8/21/1992,,5-7,115
Alanna Lee,,,,,
Alannah Monroe,36B-25-37,1/1/1994,,5-9,110
Alaura Eden,34C-26-36,6/13/1977,Brown,5-6,121
Alayah Sashu,32B-24-42,10/9/1980,,5-9,123
Alayaha Sashu,,,,,
Alayna Dior,34D-24-35,6/16/1991,,5-4,135
Alba Del Monte,,,,,
Alby Rydes,,11/16/1990,,,
Alby Rydez,,,,,
Alea Love,,,,,108
Alecia Knight,36DD-25-36,10/28/1965,,5-5,143
Aleena Flair,,,,,
Aleera Flair,36F-27-40,6/10/1984,,5-2,146
Aleia Moore,34D-22-32,2/8/1986,,5-0,106
Aleia Tyler,34D-22-32,2/8/1986,,5-0,106
Alejandra Maderos,34DD-25-36,3/5/1978,,5-7,128
Aleksa Diamond,34C-25-36,8/6/1988,,5-6,110
Alektra Blue,34D-24-34,6/9/1983,Black,5-6,110
Alektra Sky,34C-25-35,10/31/1985,,5-11,123
Alena Croft,34D-26-38,8/25/1981,,5-9,121
Alena R,,2/3/1995,,,
Alena Smile,34C-26-36,,,,
Alena Snow,44H-28-36,,,5-7,110
Alesha Bizart,No data,No data,No data,No data,No data
Alesha Oreskovich,,,,,
Alesia Pleasure,,,,5-9,130
Alessa Snow,34D-25-36,9/17/1990,,5-0,130
Alessandra Jane,32D-23-34,4/8/1994,,5-4,104
Alessandra Marquez,34C-24-34,3/23/1980,,5-5,121
Alessandra Moretti,,,,5-9,112
Alessandria Love,34B-24-37,3/15/1989,,5-0,115
Alessandro Del Mar,,,,,
Alessia Romei,32B-23-33,1/24/1983,Blonde,5-5,110
Aletta Ocean,38DDD-26-37,12/14/1987,,5-4,128
Alex Arden,36C-24-35,2/1/1980,Brown,5-6,No data
Alex Black,34DDD-27-38,8/27/1987,,5-7,
Alex Casio,,,,5-6,
Alex Chance,36DD-30-38,4/19/1989,,5-5,150
Alex Crawford,33B-24-34,10/18/1993,,,
Alex Dane,34B-23-37,12/3/1968,Black/Bleached,5-6,121
Alex Del Monaco,34D-22-31,6/15/1980,Blonde,5-6,110
Alex Devine,No data,3/26/1983,Blonde,5-1,118
Alex Dupree,34B-23-33,1/5/1986,,5-1,117
Alex Foxe,36C-25-36,11/17/1975,Brown,5-7,114
Alex Grey,34B-22-32,4/20/1996,,5-1,99
Alex Jordan,34C-28-35,9/20/1967,Blonde,5-3,116
Alex Little,32B-22-33,8/12/1995,,4-10,95
Alex Love,36D-26-36,4/17/1988,,5-7,130
Alex Mae,33A-22-33,1/15/1997,,5-4,106
Alex Metro,,1/18/1966,,,
Alex Milano,,,,,
Alex Nevada,,,,,
Alex Ryan,34B-26-36,11/3/1992,,5-7,121
Alex Sao Paulo,,,,,
Alex Stone,,,,,
Alex Storm,34D-30-33,9/12/1960,,4-6,106
Alex Tanner,32B-24-29,12/21/1995,,5-4,112
Alex Taylor,34DD-26-34,11/26/1970,Blonde,5-4,No data
Alexa Adams,34A-24-34,4/28/1989,,5-11,88
Alexa Adare,,,,,
Alexa Aimes,30F-23-33,3/7/1989,,5-2,101
Alexa Amore,,,,5-11,104
Alexa Andreas,,,,5-11,
Alexa Benson,34B-28-36,2/1/1988,,5-4,130
Alexa Bold,34D-25-36,2/28/1986,,5-2,130
Alexa Brown,,,,,
Alexa Cruz,34D-25-34,4/2/1981,,5-9,121
Alexa Grace,,11/4/1994,,5-7,
Alexa James,,,,,
Alexa Jaymes,34B-26-34,2/2/1991,,5-0,126
Alexa Jones,34B-25-34,5/22/1991,,5-10,99
Alexa Jordan,34B-28-36,????-12-30,Brown,5-5,129
Alexa Kai,34D-26-34,1/13/1983,Brown,5-7,125
Alexa Lynn,34A-24-34,10/15/1984,Brown/Red,5-3,99
Alexa May,34A-26-35,4/12/1983,Brown,5-5,105
Alexa Milano,,,,,
Alexa Nicole,32D-24-33,4/24/1987,,5-10,106
Alexa Nova,32B-24-36,1/1/1994,,5-5,108
Alexa Parks,,4/12/1961,,,
Alexa Pierce,32DD-24-30,,,5-11,115
Alexa Prado,36D-25-36,7/5/1984,,5-11,132
Alexa Rae,34D-24-27,12/10/1980,Blonde/Red,5-7,114
Alexa Ramone,35B-30-35,4/2/1985,,5-4,135
Alexa Raye,34C-27-36,2/5/1996,,5-5,99
Alexa Rydell,32B-23-34,5/5/1991,,5-6,106
Alexa Siren,,12/17/1983,,5-0,128
Alexa Sparxx,,,,,
Alexa Styles,34D-25-34,,,5-1,108
Alexa Tomas,32B-24-35,3/19/1985,,5-2,119
Alexa Von Tess,34B-26-35,6/17/1986,Black,5-4,107
Alexa Weix,34A-24-34,5/18/1981,Blonde,5-6,110
Alexa Wild,32A-25-36,2/29/1988,,5-5,110
Alexander Gustavo,,1/1/1985,,,
Alexandra Belle,32A-24-32,2/27/1980,,5-0,110
Alexandra Cat,,4/2/1986,,,
Alexandra Diamond,,,,,
Alexandra Gold,,5/7/1986,,,
Alexandra Ivy,34C-29-36,5/9/1987,,5-2,115
Alexandra Joy,36B-27-38,,,,
Alexandra Morgan,,,,,
Alexandra Nice,36D-24-36,10/31/1976,Brown/Auburn,5-7,123
Alexandra Quinn,36D-25-36,3/25/1973,Brown,5-7,No data
Alexandra Silk,36D-25-36,3/25/1973,Brown,5-7,No data
Alexandra Sins,,,,,
Alexandra Smith,,6/2/1993,,5-5,115
Alexandra Stein,35C-25-35,1/12/1985,,5-5,
Alexandria Devine,36D-29-38,7/22/1986,,5-5,161
Alexandria Karlsen,,,,,
Alexandria Sinz,36C-26-35,1/28/1987,,5-4,126
Alexanna Carlton,,,,,
Alexia Gold,34C-25-36,9/8/1994,,4-8,110
Alexia Knight,34D-26-36,5/1/1981,,5-0,121
Alexia Milano,38DD,No data,Brown,5-3,118
Alexia Moore,32F-22-35,5/11/1982,,5-0,115
Alexia Rae,34DDD-28-36,2/19/1990,,5-0,126
Alexia Red,30D-24-32,,,5-11,115
Alexia Rey,32D-25-32,10/2/1986,,5-9,110
Alexia Riley,34B-23-35,8/23/1982,,5-5,115
Alexia Sky,33A-24-34,3/3/1988,,5-0,99
Alexia Sparks,,,,,
Alexia Stone,34-26-32,,,5-7,130
Alexis Adams,34C-27-35,11/3/1992,,5-9,112
Alexis Amore,34DD-22-32,12/29/1978,Brown,5-2,112
Alexis B,,5/28/1993,,,
Alexis Blaze,36C-24-34,2/5/1992,,5-11,110
Alexis Breeze,34DD-27-36,3/7/1986,,5-6,121
Alexis Brill,32A-23-34,5/28/1993,,5-4,115
Alexis Capri,,,,,
Alexis Couture,38D-31-42,,,5-10,
Alexis Crystal,34A-25-35,1/1/1993,,5-0,115
Alexis Devell,36DD-25-36,10/8/1970,,4-8,115
Alexis Diamonds,36DD-25-35,,,5-7,121
Alexis Duval,34B-26-36,4/5/1981,Brown,5-8,125
Alexis Fawx,32DDD-24-33,6/23/1975,,5-6,99
Alexis Fire,32D-22-32,No data,Red,5-1,103
Alexis Ford,33D-25-33,4/24/1988,,5-7,121
Alexis Golden,36DDD-25-35,6/15/1969,,5-2,135
Alexis Grace,36DD-26-37,12/7/1988,,5-1,137
Alexis King,,,,,
Alexis Knight,,,,,
Alexis Love,32B,1987-??-??,Brown,5-3,94
Alexis Luv,34DD-24-36,,,6-6,154
Alexis Malone,34B-24-34,6/29/1979,Blonde,5-6,107
Alexis May,34DD-24-33,1/17/1983,,5-1,110
Alexis Mckenzye,,,,,
Alexis Monroe,32D-27-32,10/22/1990,,5-7,121
Alexis On Fire,,,,,
Alexis Onfire,32DD-22-32,7/25/1964,,5-11,104
Alexis Paige,36C-24-36,6/12/1987,,5-5,110
Alexis Rain,34C-24-34,,,5-1,
Alexis Red,32A-25-37,,,5-9,130
Alexis Redd,32A-25-37,No data,Red/Auburn,5-5,129
Alexis Rhodes,,,,,
Alexis Silver,32GG-26-32,10/27/1979,Brown,5-3,129
Alexis Sunshine,,,,,
Alexis Taylor,32B-22-32,No data,Blonde,5-10,110
Alexis Texas,No data,1/28/1986,Blonde,5-8,No data
Alexis Tyler,No data,10/29/1975,Blonde,No data,No data
Alexis Vinton,,2/23/1989,,,
Alexis Winston,,,,,
Alexus King,,,,,
Alexus Winston,36-24-34,2/20/1976,Blonde,5-7,105
Alexus,34D-26-36,6/26/1984,Black,5-4,No data
Alexxa Bound,36C-29-36,,,5-10,126
Alexxx Knight,,,,,
Alexxxis Taylor,,,,,
Alexxxis Tyler,No data,3/29/1981,Brown,5-6,No data
Ali Kat,34-26-36,8/19/1984,Red,5-10,134
Ali Moore,,2/3/1967,,,
Ali Moorhead,,,,,
Ali Morrison,,,,,
Alia Janine,34FF-24-36,11/12/1978,,5-0,146
Alia Starr,34F-26-36,7/26/1985,,5-9,126
Aliana Love,34C-29-36,6/23/1987,Brown,5-5,129
Alice Amore,34C-24-36,,,5-4,119
Alice Axx,34C-25-38,2/10/1985,,5-7,
Alice Bell,36C-28-41,1/10/1990,,5-0,130
Alice Black,34B-31-37,6/30/1991,,5-0,141
Alice Frost,,8/10/1990,,,
Alice Green,33B-25-33,3/31/1996,,5-4,106
Alice King,34C-24-36,10/24/1974,,5-4,115
Alice Kingsnorth,35B-30-36,5/30/1990,,5-10,126
Alice Lighthouse,32D-24-36,11/30/1996,,5-4,115
Alice March,32A-26-34,2/13/1994,,5-10,95
Alice Marshall,,3/15/1995,,,
Alice Miller,34D-24-36,10/20/1990,,5-11,110
Alice Rio,,2/16/1971,,,
Alice Romain,32DD-24-36,1/11/1991,,5-0,119
Alice Rose,,,,,
Alice Smack,32C-25-35,3/24/1993,,5-1,112
Alice Wander,,,,,
Alice Webb,42J-40-46,,,5-10,201
Alice White,34D-27-32,4/15/1993,,5-0,135
Alice Wonder,34DD-24-34,10/24/1987,,5-6,112
Alicia Alighatti,36-26-36,6/21/1984,Brown,5-7,121
Alicia Angel,32B-22-32,1/12/1984,Brown,5-5,105
Alicia Avery,,,,5-11,130
Alicia Burley,,,,,
Alicia Daniels,34C-24-30,,,5-9,115
Alicia Dimarco,42F-27-34,6/6/1974,,5-4,126
Alicia Leon,,,,,
Alicia Monet,37C-24-35,7/16/1964,Brown/Red,5-1,114
Alicia Poz,,9/28/1995,,5-9,117
Alicia Rhodes,34DD-26-34,9/8/1978,Blonde,5-5,114
Alicia Rio,34C-25-34,2/16/1971,Black,5-2,110
Alicia Secrets,34DD-26-34,8/3/1981,,5-3,115
Alicia Silver,36B-26-34,8/12/1980,,5-9,146
Alicia Silverjones,,,,,
Alicia Starr,34C-27-32,,,5-2,126
Alicia Stone,,3/13/1981,,,
Alicia Tease,38B-24-38,3/16/1988,,5-7,130
Alicia Tyler,32D-26-35,12/8/1985,Brown,5-6,127
Alicyn Sterling,36D-25-35,8/1/1971,,5-0,115
Aliha Anderson,34A-26-38,1/4/1985,,5-11,126
Alin X,32B-23-30,12/12/1991,,5-1,110
Alina Li,34B-21-34,9/8/1994,,5-4,110
Alina Long,35C-23-34,10/24/1982,,5-8,119
Alina Novozilova,,,,,
Alina Rose,,,,,
Alina Sabrina,34D-26-34,8/27/1988,,5-4,132
Alina West,34B-24-36,3/18/1995,,5-1,106
Aline Rico,,,,,
Aline,No data,7/21/1981,Dirty Blonde,5-6,No data
Alisa Ford,34B-30-31,6/18/1992,,4-4,104
Alisa Zee,,,,,
Alisandra Monroe,36DD-28-36,No data,Dark Brown/Honey Blonde,5-4,134
Alise Alanis,34B-24-36,9/14/1988,,5-9,108
Alisha Adams,34C-28-35,11/10/1990,,5-2,121
Alisha Angel,34D-28-34,,,5-6,126
Alisha Bizart,36B-24-36,12/15/1978,,5-2,130
Alisha Daniels,,,,,
Alisha K,,,,,
Alisha King,34D-24-34,5/27/1986,,5-11,115
Alisha Klass,34C-24-34,1/3/1972,Brown,5-6,121
Alisha Lopez,No data,No data,No data,No data,No data
Alisha Rhydes,,,,,
Alisia Zee,,,,,
Alison Angel,,,,,
Alison Faye,32B-24-34,3/17/1994,,5-11,104
Alison Rey,34B-26-35,10/23/1995,,5-1,115
Alison Star,36DD-23-33,10/18/1985,,5-4,93
Alison Sterling,,,,,
Alison Tyler,36DDD-30-34,1/5/1990,,5-0,165
Alison Waite,,,,,
Alison Whyte,34B-23-36,5/15/1984,,5-6,106
Alissa Ashley,35C-25-34,12/11/1980,,5-2,115
Alissa Melano,,,,,
Alissia Loop,,11/23/1988,,,
Alisson Wumps,,,,,
Alix Amillian,,,,,
Alix Amillion,,,,,
Alix Lakehurst,43F-31-44,2/25/1973,,5-4,150
Alix Lynx,34D-23-34,5/5/1989,,5-7,106
Aliya Wolf,,,,,
Aliyah Likit,32A-26-26,,,,
Aliyah Yi,No data,No data,No data,No data,No data
Aliysa Moore,,6/2/1988,,,
Aliz,32A-21-31,8/3/1987,,5-11,117
Allanah Li,34D-26-34,12/10/1985,,5-0,121
Allanah Rhodes,,,,,
Allandra Barros,,,,,
Allee Mack,,5/25/1990,,5-8,119
Allegra,36DD-27-36,12/27/1978,Black/Brown,5-7,No data
Alley Baggett,,,,,
Alley Cat,,,,,
Alli May,34C-24-35,11/30/1988,,5-0,115
Alli Rae,32D-25-34,5/25/1995,,5-0,115
Allie Eve Knox,32B-26-37,11/15/1989,,5-7,121
Allie Foster,38D-27-36,9/17/1987,,5-0,115
Allie Haze,32A-26-38,5/10/1987,,5-9,126
Allie James,36C-29-37,2/23/1993,,5-7,126
Allie Jordan,34B-23-34,5/22/1991,,5-10,110
Allie King,,9/17/1987,,,
Allie Marx,,,,,
Allie Perdue,,,,5-10,
Allie Ray,32B,8/14/1986,Brown,5-2,114
Allie Sin,32C-24-32,12/26/1985,Brown,5-3,105
Allie Steal,,,,,
Allisa Webb,No data,No data,Blonde,No data,No data
Allisin Parker,,,,,
Allison Banks,34B-26-32,2/26/1991,,5-1,101
Allison Evans,,,,,
Allison Evers,32F-24-34,9/9/1990,,5-6,119
Allison Grey,34C-26-36,7/7/1989,,5-10,121
Allison Kilgore,34DD-24-34,8/3/1973,,5-9,115
Allison Lane,34B-24-36,,,5-2,119
Allison Moore,32DD-26-34,7/7/1984,,5-10,115
Allison More,32DD-26-34,9/20/1979,,5-10,115
Allison Pierce,32B-,4/5/1986,Blonde,5-6,114
Allison Whyte,34C-24-36,5/15/1984,Red,5-4,105
Allison Wyte,34B-23-36,5/15/1984,,5-6,106
Alliyah Sky,34B-27-34,6/2/1990,,5-6,126
Allona Lei,34B-24-34,2/13/1980,,4-8,108
Allura Bond,32A,9/3/1982,Brown,5-8,No data
Allura James,,,,,
Allura Skye,34DD-25-35,4/22/1975,,5-4,115
Allura Valenzuela,,,,,
